,imgnames,latitude,longtitude,content,language,district
1,1.JPG,45.2384,19.84793611,#N/A,#N/A,#N/A
IMG_7503,IMG_7503.JPG,45.2397,19.83499444,Commerce,SE,Liman
IMG_7511,IMG_7511.JPG,45.24045278,19.83791944,Commerce,SE,Liman
IMG_7514,IMG_7514.JPG,45.24171389,19.83566389,Commerce,SE,Liman
IMG_7515,IMG_7515.JPG,45.23965833,19.83446111,Politics,SE,Liman 3
IMG_7516,IMG_7516.JPG,45.23971944,19.83440278,Politics,SE,Liman 3
IMG_7526,IMG_7526.JPG,45.24000556,19.847125,Politics,SE,Boško Buha
IMG_7533,IMG_7533.JPG,45.24453611,19.84501389,Neighborhood Identity,SE,Boško Buha
IMG_7534,IMG_7534.JPG,45.24451111,19.84503333,Neighborhood Identity,SE,Boško Buha
IMG_7535,IMG_7535.JPG,45.24451389,19.84503611,Neighborhood Identity,SE,Boško Buha
IMG_7542,IMG_7542.JPG,45.24091389,19.84518333,Politics,SE,Boško Buha
IMG_7544,IMG_7544.JPG,45.24003333,19.84643889,#N/A,SE,Boško Buha
IMG_7560,IMG_7560.JPG,45.23948333,19.8443,Sport,SE,Boško Buha
IMG_7603,IMG_7603.JPG,45.23995833,19.83684444,Sport,SE,Liman 3
IMG_7613,IMG_7613.JPG,45.24011667,19.83564444,Nationalist,SE,Liman 3
IMG_7637,IMG_7637.JPG,45.24394722,19.83532778,Neighborhood Identity,SE,Vera Pavlović
IMG_7638,IMG_7638.JPG,45.24247222,19.83401667,Neighborhood Identity,SE,Vera Pavlović
IMG_7704,IMG_7704.JPG,45.23813611,19.83704444,Sport,SE,Liman 3
IMG_7706,IMG_7706.JPG,45.23719444,19.8373,Sport,SE,Liman 3
IMG_7707,IMG_7707.JPG,45.23722778,19.83742778,Nationalist,SE,Liman 3
IMG_7708,IMG_7708.JPG,45.23720278,19.83736111,Nationalist,SE,Liman 3
IMG_7709,IMG_7709.JPG,45.23749167,19.83813889,Nationalist,SE,Liman 3
IMG_7711,IMG_7711.JPG,45.23771389,19.83956944,Politics,SE,Limanski Park
IMG_7711,IMG_7711.JPG,45.23771389,19.83956944,Nationalist,SE,Limanski Park
IMG_7712,IMG_7712.JPG,45.23699444,19.84092778,Politics,SE,Liman 3
IMG_7712,IMG_7712.JPG,45.23699444,19.84092778,Nationalist,SE,Liman 3
IMG_7713,IMG_7713.JPG,45.23721389,19.84067222,Nationalist,SE,Liman 3
IMG_7713,IMG_7713.JPG,45.23721389,19.84067222,Politics,SE,Liman 3
IMG_7715,IMG_7715.JPG,45.23925,19.84556111,Nationalist,SE,Liman 3
IMG_7715,IMG_7715.JPG,45.23925,19.84556111,Politics,SE,Liman 3
IMG_7716,IMG_7716.JPG,45.23932222,19.84560278,Politics,SE,Boško Buha
