imgname,longitude,latitude,Number of signs on image,Number of texts per sign,language total,both script systems,content
plus-8979.png,19.84526735,45.23760544,not readable,,#N/A,,#N/A
plus-8720.png,19.83859486,45.24236069,not readable,,#N/A,,#N/A
plus-8675.png,19.84503012,45.24488925,not readable,,#N/A,,#N/A
plus-8652.png,19.83796703,45.24632518,1,1,SE,0,Sport
plus-8642.png,19.83748653,45.24590424,1,1,SE,0,Sport
plus-7617.png,19.83124067,45.24145972,1,1,"SE, EN",1,Sport
plus-7615.png,19.83136513,45.2414886,1,1,SE,0,Sport
plus-7609.png,19.83173957,45.24157039,1,1,SE,0,Sport
plus-7549.png,19.8285935,45.23778398,1,1,SE,1,Politics
plus-7549.png,19.8285935,45.23778398,1,1,SE,1,Sport
plus-7548.png,19.82865502,45.23780118,1,1,SE,0,Sport
plus-7548.png,19.82865502,45.23780118,1,1,SE,0,Neighborhood Identity
plus-7548.png,19.82865502,45.23780118,1,1,SE,0,Nationalist
plus-7523.png,19.84591605,45.24479475,not categorizable,,#N/A,,#N/A
plus-7510.png,19.84511047,45.24459304,not readable,,#N/A,,#N/A
plus-7474.png,19.83727497,45.23918145,not categorizable,,#N/A,,#N/A
plus-7461.png,19.8364724,45.23896808,1,1,SE,0,Sport
plus-7461.png,19.8364724,45.23896808,1,1,SE,0,Neighborhood Identity
plus-7455.png,19.83610154,45.2388713,1,1,SE,0,Sport
plus-7455.png,19.83610154,45.2388713,1,1,SE,0,Nationalist
plus-7309.png,19.84842243,45.2407645,not readable,,#N/A,,#N/A
plus-7306.png,19.84839656,45.24095439,1,1,SE,0,Address to Person 
plus-7302.png,19.84836207,45.24120757,not readable,,#N/A,,#N/A
plus-7298.png,19.84832757,45.24146076,1,1,SE,0,Neighborhood Identity
plus-7227.png,19.83497242,45.2374264,not readable,,#N/A,,#N/A
plus-7224.png,19.83515674,45.23747887,1,1,SE,1,Address to Person
plus-7224.png,19.83515674,45.23747887,1,1,SE,1,Sport
plus-7224.png,19.83515674,45.23747887,1,1,SE,1,Neighborhood Identity
plus-7218.png,19.835576,45.237617,1,1,SE,0,Sport
plus-7217.png,19.83558682,45.23760129,1,1,SE,0,Sport
plus-7217.png,19.83558682,45.23760129,1,1,SE,0,Neighborhood Identity
plus-7094.png,19.83407378,45.24039868,1,1,SE,0,Sport
plus-7094.png,19.83407378,45.24039868,1,1,SE,0,Neighborhood Identity
plus-6940.png,19.84766567,45.23899226,1,1,SE,0,Politics
plus-6816.png,19.83759456,45.23793386,1,1,SE,0,Sport
plus-6816.png,19.83759456,45.23793386,1,1,SE,0,Neighborhood Identity
plus-6776.png,19.84929401,45.23960866,not readable,,#N/A,,#N/A
plus-6762.png,19.84856422,45.23975584,1,1,SE,0,Address to Person 
plus-6526.png,19.84802217,45.2442785,1,1,SE,1,Sport
plus-6526.png,19.84802217,45.2442785,1,1,SE,1,Neighborhood Identity
plus-6453.png,19.830293,45.24123272,1,1,SE,0,Sport
plus-6453.png,19.830293,45.24123272,1,1,SE,0,Neighborhood Identity
plus-6435.png,19.84073339,45.2373084,not readable,,#N/A,,#N/A
plus-5766.png,19.82828175,45.23914871,1,1,SE,0,Sport
plus-5766.png,19.82828175,45.23914871,1,1,SE,0,Neighborhood Identity
plus-5766.png,19.82828175,45.23914871,1,1,SE,0,Nationalist
plus-5622.png,19.83284503,45.2421321,1,1,SE,1,Address to Person
plus-5622.png,19.83284503,45.2421321,1,1,SE,1,Politics
plus-5622.png,19.83284503,45.2421321,1,1,SE,1,Sport
plus-5491.png,19.8375129,45.24264821,not readable,,#N/A,,#N/A
plus-5488.png,19.83732751,45.24259967,not readable,,#N/A,,#N/A
plus-5402.png,19.83621785,45.24100459,1,1,SE,0,Sport
plus-5206.png,19.84417808,45.24142185,1,1,"SE, EN",1,others
plus-5206.png,19.84417808,45.24142185,1,1,"SE, EN",1,Sport
plus-5206.png,19.84417808,45.24142185,1,1,"SE, EN",1,Nationalist
plus-5199.png,19.84458927,45.24149438,not readable,,#N/A,,#N/A
plus-5088.png,19.83558699,45.24099203,1,1,SE,1,Neighborhood Identity
plus-5088.png,19.83558699,45.24099203,1,1,SE,1,Sport
plus-4764.png,19.83055413,45.23962267,1,1,SE,0,Nationalist
plus-4603.png,19.84481901,45.24252763,1,1,SE,1,Sport
plus-4603.png,19.84481901,45.24252763,1,1,SE,1,Neighborhood Identity
plus-4601.png,19.84469559,45.24249462,1,1,SE,0,Sport
plus-4521.png,19.83889781,45.24626247,not categorizable,,#N/A,,#N/A
plus-4468.png,19.83147989,45.23786962,1,1,SE,0,Sport
plus-4468.png,19.83147989,45.23786962,1,1,SE,0,Neighborhood Identity
plus-4419.png,19.83636711,45.24546739,1,1,SE,1,Politics
plus-4419.png,19.83636711,45.24546739,1,1,SE,1,Sport
plus-4419.png,19.83636711,45.24546739,1,1,SE,1,Address to Person
plus-4419.png,19.83636711,45.24546739,1,1,SE,1,Neighborhood Identity
plus-4416.png,19.83654119,45.24538723,1,1,SE,0,Sport
plus-4416.png,19.83654119,45.24538723,1,1,SE,0,Neighborhood Identity
plus-4397.png,19.84462434,45.24012895,1,1,SE,0,Sport
plus-4397.png,19.84462434,45.24012895,1,1,SE,0,Neighborhood Identity
plus-4291.png,19.84755025,45.24413073,not readable,,#N/A,,#N/A
plus-4138.png,19.83531794,45.24431217,1,1,SE,1,Neighborhood Identity
plus-4138.png,19.83531794,45.24431217,1,1,SE,1,Address to Person
plus-4018.png,19.84544014,45.24062839,1,1,SE,1,Neighborhood Identity
plus-4018.png,19.84544014,45.24062839,1,1,SE,1,Nationalist
plus-3871.png,19.84051636,45.24715125,not categorizable,,#N/A,,#N/A
plus-3812.png,19.84840771,45.24283002,not readable,,#N/A,,#N/A
plus-3806.png,19.84802518,45.24280608,not readable,,#N/A,,#N/A
